TEAM,YEAR,APG,RPG,TPG,SPG,ORPG,PPG
Middle Tennessee,2023,10.8,33.6,13.3,7.55,11.1,70.1
Milwaukee,2023,14.2,39.1,15.2,7,11.9,78.3
Minnesota,2023,14.6,32.8,12.9,4.61,8.45,62.9
Mississippi,2023,13.1,35.8,12.2,7.12,12,67.5
Mississippi State NCAA,2023,14.2,37.9,12.8,8.62,12.9,65.7
Mississippi Valley State,2023,10,32.1,16.2,7.59,9.88,61
Missouri NCAA,2023,16.1,30.3,11.3,10.3,9.06,79.5
Missouri State,2023,11.7,35.1,12.3,6.22,11.3,65.6
Monmouth,2023,12,33,14.4,8.42,11.1,61.7
Montana,2023,12.2,30.4,11.2,4.71,7.39,69.3
Montana State NCAA,2023,12.5,33.1,11.7,6.5,8.32,74.2
Morehead State,2023,13.8,35.7,12.2,5.78,9.69,70.2
Morgan State,2023,15.5,34.6,16.1,9.77,11.7,74.9
Mount St. Mary's,2023,12.4,33.6,13.6,5.52,9.33,63.7
Murray State,2023,12.2,34.7,10.9,5.44,9.41,70.4
Navy,2023,14.8,34.5,11.5,6.94,10,69.4
NC State NCAA,2023,13.1,36.6,9.52,7.94,11.4,78.2
Nebraska,2023,13.1,34.5,12.7,5.53,8.25,68
Nevada NCAA,2023,14.2,33.6,10.3,6.06,7.5,72.6
Nevada-Las Vegas,2023,12.8,33.8,12.3,9.09,10.5,74.3
New Hampshire,2023,11.7,35.7,9.9,5.37,10.2,66.4
New Mexico,2023,13.7,37,11.3,6.7,9.79,81.2
New Mexico State,2023,12.1,35.5,12.7,7.33,10.3,73.7
New Orleans,2023,14.6,32.3,17.1,6.72,9.66,73.1
Niagara,2023,10.9,30.5,11.8,5.32,8.06,65
Nicholls State,2023,13.9,34.7,13.5,9.74,11.5,75.6
NJIT,2023,11.2,34.1,11.1,5.33,8.7,66.9
Norfolk State,2023,12.8,35.9,13.2,7.09,11,75.8
North Alabama,2023,11.6,34.3,11.2,5.84,8.47,74.9
North Carolina,2023,12,39.5,10.8,5.36,11.2,76.2
North Carolina A&T,2023,11.7,35.5,12,7.5,9.38,70.8
North Carolina Central,2023,14.6,35.8,15.3,7.97,10.9,75.6
North Dakota,2023,11.9,33.4,11.5,4.42,9.21,72.1
North Dakota State,2023,11.2,36.1,11.5,3.94,8.52,72.8
North Florida,2023,13.1,34.1,12.2,4.97,9,76.2
North Texas,2023,11.1,33.7,11.9,6.33,10.9,64.2
Northeastern,2023,12.6,36,14.4,4.97,11,65.3
Northern Arizona,2023,13.8,34,10.8,5.29,10.1,73.7
Northern Colorado,2023,11.3,33.4,11.9,4.59,8.22,73.6
Northern Illinois,2023,12.6,33.1,14.3,6.47,8.72,72
Northern Iowa,2023,11.6,32.8,12,6.38,7.63,70.1
Northern Kentucky NCAA,2023,13.6,32.4,11.4,9.41,11.1,68.2
Northwestern NCAA,2023,12.9,34.6,9.75,7.97,10.2,67.7
Northwestern State,2023,12.6,33.8,11.9,8.27,12.1,74.6
Notre Dame,2023,11.8,31.1,8.78,4.69,6.56,69.6
Oakland,2023,12,30.5,10.6,7.47,8.38,73.3
Ohio,2023,12.5,37.5,11.2,6.7,12.1,78.8
Ohio State,2023,11.7,35.9,10.7,5.17,10.6,72.5
Oklahoma,2023,13,32.8,13.4,5.72,7.25,67.7
Oklahoma State,2023,12.5,36.8,14.2,5.7,11,68.5
Old Dominion,2023,10.6,37.9,11.2,6.35,12.1,66.9
Omaha,2023,11.9,32.4,12.5,5.38,8.09,68.5
Oral Roberts NCAA,2023,14.8,36.9,9.41,6.88,8.88,84.2
Oregon,2023,13.2,37.1,12.2,5.67,11.1,70.7
Oregon State,2023,10.2,31.1,13.4,5.38,7.94,61.2
Pacific,2023,12.7,31.6,11.8,5.42,8.09,75.8
Penn State NCAA,2023,13.9,32.6,9,4.37,6,72.3
Pennsylvania,2023,14.8,37.6,12.7,5.53,10.1,75
Pepperdine,2023,15.1,35.8,14.1,5.42,9.23,78
Pittsburgh NCAA,2023,14.3,35.9,11.1,5.21,10.2,75.6
Portland,2023,14.8,32.8,12.7,4.97,8.12,77.8
Portland State,2023,13.9,31.4,12.1,7.1,9.32,76.2
Prairie View,2023,10.9,35.5,13.7,7.42,11.8,67.5
Presbyterian,2023,10.8,32.8,13.4,5.5,10.5,63.2
Princeton NCAA,2023,13.5,39.3,12.4,4.93,10.2,76
Providence NCAA,2023,14.7,38.3,11.8,6.91,12.3,78.1
Purdue NCAA,2023,15.5,38.6,10.9,4.79,12.2,73.1
Purdue-Fort Wayne,2023,13.1,35.6,13.2,7.34,9.94,73.9
Queens (NC),2023,13.8,37.3,12.5,6.18,11.2,77.7
Quinnipiac,2023,13.1,37.4,12.6,6.13,11.4,73
Radford,2023,11.8,33.4,11.9,7.12,10.2,69.7
Rhode Island,2023,11.2,37,14.1,6.42,11.7,66
Rice,2023,15.4,34.7,13.2,5.76,8.03,76.7
Richmond,2023,12.2,32.3,11.5,5.73,6.85,68.9
Rider,2023,11.4,36.2,11.5,5.37,11.3,70.2
Robert Morris,2023,13.8,34.7,13.1,6.67,10.2,69.3
Rutgers,2023,15.1,36.8,11.4,8.74,11.6,68.4
Sacramento State,2023,13.6,35.7,13.3,4.47,10.9,66.1
Sacred Heart,2023,13.5,35.8,13.3,7.85,10.6,70.7
Saint Francis (PA),2023,13.9,33.5,12.6,4.42,8.55,73
Saint Joseph's,2023,12.1,34.6,12.8,6.55,10.4,72.4
Saint Louis,2023,16.5,38,12.1,5.03,10.2,75.5
Saint Mary's (CA) NCAA,2023,12.5,35.7,10.7,6.82,10.8,71.4
Saint Peter's,2023,10.5,35,12.3,6.25,13.5,62.1
Sam Houston State,2023,13.8,37.1,13.2,8.44,11.6,73.2
Samford,2023,11.7,35.5,12.7,8.13,9.97,78.7
San Diego,2023,12.8,33.1,11.5,6.68,10.1,77.1
San Diego State NCAA,2023,13.4,35.8,11.8,7.06,10.7,72.1
San Francisco,2023,12.8,34.5,13.8,6.76,9.59,76.2
San Jose State,2023,12.4,37.9,12,4.03,11.9,67.5
Santa Clara,2023,14,38.4,12.4,6,10.7,77.6
Seattle,2023,11.9,37.1,11.9,6.13,11.2,72
Seton Hall,2023,12.2,35.1,13.8,8.24,10.6,68.4
Siena,2023,12.8,34.3,13.1,5.69,10.1,68.6
South Alabama,2023,11.4,32.7,9.77,6.06,6.91,70.9
South Carolina,2023,11.1,34.1,13.2,4.91,11.8,64.3
South Carolina State,2023,14,35.4,15.7,7.23,13.8,73.4
South Carolina Upstate,2023,11.9,31.5,13.4,7.39,8.26,68.9
South Dakota,2023,12.4,33.6,11.6,4.45,8.61,69.3
South Dakota State,2023,10.7,32.5,11.6,5.19,6.97,70.9
South Florida,2023,13.4,37.4,13.7,6.47,11.9,72
Southeast Missouri State NCAA,2023,13.8,35.1,13.1,6.97,9.64,77.5
Southeastern Louisiana,2023,14.2,34.6,12.2,7.28,10.3,77.6
Southern,2023,14.1,32.4,14.6,8.69,8.78,71.9
Southern California NCAA,2023,13.4,35.3,12.5,7.03,9.44,72.8
Southern Illinois,2023,13.9,31.5,12.5,7.21,6.91,65.7
SIU Edwardsville,2023,12.3,37,12.8,6.91,11.3,74.6
Southern Indiana,2023,12.9,39,13.5,7.28,12.4,76.5
Southern Methodist,2023,13.6,34.9,12.9,7.06,10.5,70.3
Southern Mississippi,2023,14.8,36.5,12.2,8.36,11.1,73.8
Southern Utah,2023,13,37.9,13.1,7.41,10.6,82.7
St. Bonaventure,2023,11.9,32.8,12.7,7,9.41,66.8
St. Francis (NY),2023,12.3,33.9,13.8,7.43,11.4,64.9
St. John's (NY),2023,15.2,40.1,14,8.24,13.1,77.3
St. Thomas,2023,12.9,31.9,9.91,5.94,8.24,74.2
Stanford,2023,14.8,34.5,12.5,5.7,10.4,70.3
Stephen F. Austin,2023,15.1,34.4,15.4,8.88,10.7,75.8
Stetson,2023,13.9,34.3,10.5,5.1,9.97,76.6
Stonehill,2023,12.3,31.1,13.5,7.06,6.26,67
Stony Brook,2023,11.8,33.9,12.5,4.36,7.64,63.1
Syracuse,2023,14.3,34.8,11.7,7.53,10.1,74.1
Tarleton State,2023,12.9,31.8,12.4,9.73,9.52,72
TCU NCAA,2023,16.2,35.8,12.2,8.24,11.5,75.2
Temple,2023,13.8,35.2,13.6,4.97,9.72,69.6
Tennessee NCAA,2023,16.9,38.7,12.1,8.27,13,71.8
Tennessee State,2023,13.3,36.4,12.6,5.84,10.5,78.1
Tennessee Tech,2023,14.4,35.1,12.6,6.27,9.39,73.7
Tennessee-Martin,2023,13.6,39.2,11.9,7.55,10.5,80.5
Texas NCAA,2023,16.1,34.4,11.7,8.06,9.76,77.9
Texas A&M NCAA,2023,12.6,36.8,12.4,6.82,12.3,73.2
Texas A&M-Commerce,2023,14.3,32.2,12.8,5.75,9.22,71.8
Texas A&M-Corpus Christi NCAA,2023,15.5,37.1,13,8.59,12,80.2
Texas Southern NCAA,2023,11.6,37.7,14.6,6.68,11.6,69.4
Texas State,2023,9.89,32.7,11.7,6.29,10.3,66
Texas Tech,2023,12.9,35.2,13.8,7.31,10.4,73.3
Texas-Rio Grande Valley,2023,15.8,37.8,16.1,4.72,10.8,78.7
The Citadel,2023,11.4,31.7,12.3,5.5,7.31,67.4
