TEAM,YEAR,APG,RPG,TPG,SPG,ORPG,PPG,MARCH MADNESS,FINAL FOUR,FINALS,WINNER
Southern Mississippi,2018,14.7,30.4,9.79,6.97,7.47,70.6,0,0,0,0
Southern Utah,2018,11.7,33.9,12.8,5.19,8.5,75.5,0,0,0,0
St. Bonaventure NCAA,2018,13.9,35.5,11.5,7.03,10.1,77.1,1,0,0,0
St. Francis (NY),2018,11.5,33.7,12.6,7.26,10.6,72.9,0,0,0,0
St. John's (NY),2018,12.8,33.6,11.9,8.55,8.73,73.1,0,0,0,0
Stanford,2018,13.4,39.1,15,5.23,11.3,75.9,0,0,0,0
Stephen F. Austin NCAA,2018,14.2,35.7,15.4,10.3,11.5,80.5,1,0,0,0
Stetson,2018,14.7,34.3,10.9,7.13,9.16,75.4,0,0,0,0
Stony Brook,2018,13.3,36,14,8.16,11.5,68.9,0,0,0,0
Syracuse NCAA,2018,10.7,37.2,12.4,6.97,11.9,66.6,1,0,0,0
TCU NCAA,2018,18.6,36.4,12.7,6.48,11.2,82.1,1,0,0,0
Temple,2018,12.8,33.9,10.8,6.67,10.2,69.9,0,0,0,0
Tennessee NCAA,2018,15.7,36.1,12.1,6.34,11.5,73.8,1,0,0,0
Tennessee State,2018,10.9,33,14.7,7.1,8.7,66.6,0,0,0,0
Tennessee Tech,2018,14.3,35.6,14.3,7.64,10.2,73.1,0,0,0,0
Tennessee-Martin,2018,12.6,35,14.5,6.9,9.94,68.9,0,0,0,0
Texas NCAA,2018,11.6,35.8,11.7,6.15,10.6,72.1,1,0,0,0
Texas A&M NCAA,2018,15.4,41.4,13.6,5.43,12.3,75.2,1,0,0,0
Texas A&M-Corpus Christi,2018,11.1,34.7,15.9,6.79,10.1,67.7,0,0,0,0
Texas Southern NCAA,2018,12.2,36.1,12.6,5.75,10.3,77.4,1,0,0,0
Texas State,2018,13.6,34.7,13.4,5.42,11,66.4,0,0,0,0
Texas Tech NCAA,2018,14.3,36,12.3,7.08,11,74.6,1,0,0,0
Texas-Rio Grande Valley,2018,15.1,37.6,13.5,7.67,11.6,75.5,0,0,0,0
The Citadel,2018,16.5,37,14.9,9.41,11.8,82.5,0,0,0,0
Toledo,2018,15.5,36.9,11.6,3.74,9.38,79,0,0,0,0
Towson,2018,11.9,38.1,12.7,6.53,12.4,76.4,0,0,0,0
Troy,2018,13.2,36.2,12.4,5,9.67,75,0,0,0,0
