TEAM,YEAR,APG,RPG,TPG,SPG,ORPG,PPG,MARCH MADNESS,FINAL FOUR,FINALS,WINNER
Texas State,2021,13.6,32.9,13.3,6.88,9.24,66.4,0,0,0,0
Texas Tech NCAA,2021,13,35,10.8,7.14,11.5,72.5,1,0,0,0
Texas-Rio Grande Valley,2021,15.2,39.1,14.8,8.89,13.5,72.4,0,0,0,0
The Citadel,2021,15.6,37.8,12.1,5.44,9.48,80.8,0,0,0,0
Toledo,2021,16,37.6,11.1,6.13,10.7,81.1,0,0,0,0
Towson,2021,9.44,37,12.4,5,12.5,67.4,0,0,0,0
Troy,2021,11.4,37.7,14.9,6.25,10.8,65.3,0,0,0,0
Tulane,2021,11.7,32.7,11.2,7.48,8.3,63.9,0,0,0,0
Tulsa,2021,14.2,34,13.3,6.35,8.87,68.4,0,0,0,0
UAB,2021,10.6,36.7,10.5,7.97,10.7,72.6,0,0,0,0
UC Davis,2021,10.8,31.7,14.5,7.5,8.89,71.9,0,0,0,0
UC Irvine,2021,11.8,39.6,13,7.56,11.2,72.2,0,0,0,0
UC Riverside,2021,14,36.3,12,5.27,8.59,70.2,0,0,0,0
UC San Diego,2021,17.3,29.5,13.2,6.82,5.82,71.4,0,0,0,0
UC Santa Barbara NCAA,2021,16.2,35.2,10.9,7.37,9.3,76,1,0,0,0
UCLA NCAA,2021,13.7,34.9,10.5,4.94,9.75,73.4,1,1,0,0
UNC Asheville,2021,12.7,33.5,15.1,7,9.3,73.4,0,0,0,0
UNC Greensboro NCAA,2021,12.3,39.1,11,7.47,12.6,73,1,0,0,0
UNC Wilmington,2021,12.1,32.2,11.2,6.06,9.53,76.3,0,0,0,0
UT Arlington,2021,13.7,37.4,12,8.27,11.7,73.7,0,0,0,0
Utah,2021,15.1,31.3,12.6,5.44,7.4,72.1,0,0,0,0
Utah State NCAA,2021,16.2,40.7,13.9,6.66,12.4,72.6,1,0,0,0
Utah Tech,2021,15.3,35.2,15.2,6.81,9.52,69.6,0,0,0,0
Utah Valley,2021,16.8,38.8,15,5.23,10.9,74.2,0,0,0,0
UTEP,2021,11.9,34.5,10.9,6.25,8.75,70.8,0,0,0,0
UTSA,2021,14.7,38.5,11.6,6.19,11.5,78.8,0,0,0,0
Valparaiso,2021,12.7,32.9,12.4,6.54,7,65,0,0,0,0
Vanderbilt,2021,12.7,33.7,13.8,7,9.84,71.8,0,0,0,0
Vermont,2021,14.1,34.9,12.2,5,8.4,73,0,0,0,0
Villanova NCAA,2021,15,33.9,9.08,5.08,9.28,74.8,1,0,0,0
Virginia NCAA,2021,13.8,31.6,9.16,4.92,6.48,68.2,1,0,0,0
Virginia Commonwealth NCAA,2021,12.9,33,14.1,8.89,8.81,69,1,0,0,0
VMI,2021,15.7,38.5,12.6,5.36,8.12,80,0,0,0,0
Virginia Tech NCAA,2021,14.2,34.5,11.6,4.82,9.27,72,1,0,0,0
Wagner,2021,12.9,35.6,12.3,7.35,12.3,71.3,0,0,0,0
Wake Forest,2021,11.5,32.6,13.6,6.18,9,66.3,0,0,0,0
Washington,2021,10.8,31.2,13.7,6.08,8.19,67.7,0,0,0,0
Washington State,2021,12.1,38,15.3,6.19,11.3,68.6,0,0,0,0
Weber State,2021,15,32.8,12.5,6.7,6.43,81.8,0,0,0,0
West Virginia NCAA,2021,14,37.8,12,7.59,13.4,77.3,1,0,0,0
Western Carolina,2021,13.3,34.4,14.1,4.93,7.81,75.5,0,0,0,0
Western Illinois,2021,10.2,38.1,13,5.27,11.7,73,0,0,0,0
Western Kentucky,2021,13.6,37.7,14.2,6.45,10.5,72.7,0,0,0,0
Western Michigan,2021,11.7,33.8,14.5,4.43,7.95,63.1,0,0,0,0
Wichita State NCAA,2021,13,37.9,11.2,6.14,11.9,71.5,0,0,0,0
William & Mary,2021,10.8,33.8,13.6,5.29,10,64.8,0,0,0,0
Winthrop NCAA,2021,15,40.1,14,7.44,12.8,78.9,1,0,0,0
Wisconsin NCAA,2021,13.4,33.6,9.03,5.65,8.23,69.9,1,0,0,0
Wofford,2021,14.6,34.5,12.8,6.67,9,74.3,0,0,0,0
Wright State,2021,15.4,42.3,13.1,5.92,11.8,82,0,0,0,0
Wyoming,2021,14,32.6,11.2,5.8,8.12,76.6,0,0,0,0
Xavier,2021,17.6,37.7,11.2,6.9,9.52,74.8,0,0,0,0
Yale,2021,0,0,0,0,0,0,0,0,0,0
Youngstown State,2021,12.9,36.7,11.5,6.04,12.8,74.4,0,0,0,0
